#Summary : 
#Best fitness Pop 1;0.935665
#Best fitness Pop 2;0.935665
#Std deviation Pop 1;0.0706083
#Std deviation Pop 2;0.192501
#Sensitivity;0.896661
#Specificity;0.943576
#Accuracy;0.927007
#PPV;0.896661
#RMSE;0.253676
#RRSE;0.795789
#RAE;0.348908
#MSE;0.0643514
#ADM;0.880843
#MDM;0.00790024
#Size;1
#OverLearn;1

#Parameters : 
#Generations;200
#Population size;120
#Number of rules;1
#Number of var per rule;1
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.01
#Fixed vars;0
#Sensitivity weight;0.94
#Specificity weight;0.98
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.6
#OverLearn weight;0

#Fuzzy system : 
 IF 1566363_at is MF 0 THEN  is MF 0
 ELSE :  is 1  

Membership functions : 
1566363_at (6.79236 , 12.6999) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
59; 0.935409; 0.88379; 0.899841; 0.940104; 0.925884; 0.891339;0.258091
60; 0.935409; 0.895947; 0.899841; 0.940104; 0.925884; 0.891339;0.258091
61; 0.935409; 0.907467; 0.899841; 0.940104; 0.925884; 0.891339;0.258091
62; 0.935409; 0.909276; 0.899841; 0.940104; 0.925884; 0.891339;0.258091
63; 0.935409; 0.913456; 0.899841; 0.940104; 0.925884; 0.891339;0.258091
64; 0.935409; 0.914111; 0.899841; 0.940104; 0.925884; 0.891339;0.258091
65; 0.935409; 0.910317; 0.899841; 0.940104; 0.925884; 0.891339;0.258091
66; 0.935409; 0.909675; 0.899841; 0.940104; 0.925884; 0.891339;0.258091
67; 0.935409; 0.903559; 0.899841; 0.940104; 0.925884; 0.891339;0.258091
68; 0.935409; 0.907042; 0.899841; 0.940104; 0.925884; 0.891339;0.258091
69; 0.935409; 0.914612; 0.899841; 0.940104; 0.925884; 0.891339;0.258091
70; 0.935409; 0.910809; 0.899841; 0.940104; 0.925884; 0.891339;0.258091
71; 0.935409; 0.914633; 0.899841; 0.940104; 0.925884; 0.891339;0.258091
72; 0.935409; 0.922147; 0.899841; 0.940104; 0.925884; 0.891339;0.258091
73; 0.935409; 0.917575; 0.899841; 0.940104; 0.925884; 0.891339;0.258091
74; 0.935409; 0.914891; 0.899841; 0.940104; 0.925884; 0.891339;0.258091
75; 0.935409; 0.913185; 0.899841; 0.940104; 0.925884; 0.891339;0.258091
76; 0.935409; 0.913394; 0.899841; 0.940104; 0.925884; 0.891339;0.258091
77; 0.935632; 0.908969; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
78; 0.935632; 0.912054; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
79; 0.935632; 0.906447; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
80; 0.935632; 0.915958; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
81; 0.935632; 0.924582; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
82; 0.935632; 0.922425; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
83; 0.935632; 0.925056; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
84; 0.935632; 0.928863; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
85; 0.935632; 0.93114; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
86; 0.935632; 0.931875; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
87; 0.935632; 0.93281; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
88; 0.935632; 0.931314; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
89; 0.935632; 0.933875; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
90; 0.935632; 0.930546; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
91; 0.935632; 0.928875; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
92; 0.935632; 0.92417; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
93; 0.935632; 0.920214; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
94; 0.935632; 0.919972; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
95; 0.935632; 0.912676; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
96; 0.935632; 0.919223; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
97; 0.935632; 0.922048; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
98; 0.935632; 0.912585; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
99; 0.935632; 0.916224; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
100; 0.935632; 0.912454; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
101; 0.935632; 0.909879; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
102; 0.935632; 0.913168; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
103; 0.935632; 0.923605; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
104; 0.935632; 0.92451; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
105; 0.935632; 0.926879; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
106; 0.935632; 0.926557; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
107; 0.935632; 0.926048; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
108; 0.935632; 0.925498; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
109; 0.935632; 0.923259; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
110; 0.935632; 0.921621; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
111; 0.935632; 0.923896; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
112; 0.935632; 0.92449; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
113; 0.935632; 0.9208; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
114; 0.935632; 0.91696; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
115; 0.935632; 0.922019; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
116; 0.935632; 0.927132; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
117; 0.935632; 0.922923; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
118; 0.935632; 0.926106; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
119; 0.935632; 0.924902; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
120; 0.935632; 0.92688; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
121; 0.935632; 0.924496; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
122; 0.935632; 0.926174; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
123; 0.935632; 0.925939; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
124; 0.935632; 0.929755; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
125; 0.935632; 0.925837; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
126; 0.935632; 0.922161; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
127; 0.935632; 0.919251; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
128; 0.935632; 0.923693; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
129; 0.935632; 0.923682; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
130; 0.935632; 0.913825; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
131; 0.935632; 0.91658; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
132; 0.935632; 0.909623; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
133; 0.935632; 0.908555; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
134; 0.935665; 0.904541; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
135; 0.935665; 0.90171; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
136; 0.935665; 0.903138; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
137; 0.935665; 0.900324; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
138; 0.935665; 0.892433; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
139; 0.935665; 0.901573; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
140; 0.935665; 0.888025; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
141; 0.935665; 0.865655; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
142; 0.935665; 0.865419; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
143; 0.935665; 0.856753; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
144; 0.935665; 0.862671; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
145; 0.935665; 0.870326; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
146; 0.935665; 0.861462; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
147; 0.935665; 0.868068; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
148; 0.935665; 0.867397; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
149; 0.935665; 0.866538; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
150; 0.935665; 0.837141; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
151; 0.935665; 0.844367; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
152; 0.935665; 0.844171; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
153; 0.935665; 0.869044; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
154; 0.935665; 0.876816; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
155; 0.935665; 0.882747; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
156; 0.935665; 0.884723; 0.896661; 0.943576; 0.927007; 0.896661;0.253676
