#Summary : 
#Best fitness Pop 1;0.935665
#Best fitness Pop 2;0.935665
#Std deviation Pop 1;0.0724176
#Std deviation Pop 2;0.185298
#Sensitivity;0.896661
#Specificity;0.943576
#Accuracy;0.927007
#PPV;0.896661
#RMSE;0.253676
#RRSE;0.795789
#RAE;0.348908
#MSE;0.0643514
#ADM;0.880843
#MDM;0.00790024
#Size;1
#OverLearn;0.5

#Parameters : 
#Generations;200
#Population size;120
#Number of rules;1
#Number of var per rule;5
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.01
#Fixed vars;0
#Sensitivity weight;0.94
#Specificity weight;0.98
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.6
#OverLearn weight;0

#Fuzzy system : 
 IF 1566363_at is MF 1 THEN  is MF 1
 ELSE :  is 0  

Membership functions : 
1566363_at (6.79236 , 12.6999) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
60; 0.934033; 0.770392; 0.890302; 0.945312; 0.925884; 0.898876;0.253668
61; 0.934033; 0.786453; 0.890302; 0.945312; 0.925884; 0.898876;0.253668
62; 0.934033; 0.782536; 0.890302; 0.945312; 0.925884; 0.898876;0.253668
63; 0.934033; 0.758222; 0.890302; 0.945312; 0.925884; 0.898876;0.253668
64; 0.935293; 0.786105; 0.896661; 0.942708; 0.926446; 0.895238;0.255829
65; 0.935293; 0.775019; 0.896661; 0.942708; 0.926446; 0.895238;0.255829
66; 0.935293; 0.7713; 0.896661; 0.942708; 0.926446; 0.895238;0.255829
67; 0.935293; 0.775161; 0.896661; 0.942708; 0.926446; 0.895238;0.255829
68; 0.935293; 0.790012; 0.896661; 0.942708; 0.926446; 0.895238;0.255829
69; 0.935311; 0.790854; 0.901431; 0.938368; 0.925323; 0.888715;0.258943
70; 0.935311; 0.76194; 0.901431; 0.938368; 0.925323; 0.888715;0.258943
71; 0.935311; 0.790169; 0.901431; 0.938368; 0.925323; 0.888715;0.258943
72; 0.935311; 0.775631; 0.901431; 0.938368; 0.925323; 0.888715;0.258943
73; 0.935632; 0.785001; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
74; 0.935632; 0.773028; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
75; 0.935632; 0.751367; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
76; 0.935632; 0.768716; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
77; 0.935632; 0.756533; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
78; 0.935632; 0.77973; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
79; 0.935632; 0.781559; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
80; 0.935632; 0.79187; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
81; 0.935632; 0.789754; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
82; 0.935632; 0.756968; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
83; 0.935632; 0.764107; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
84; 0.935632; 0.741817; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
85; 0.935632; 0.806168; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
86; 0.935632; 0.776807; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
87; 0.935632; 0.803644; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
88; 0.935632; 0.786935; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
89; 0.935632; 0.775344; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
90; 0.935632; 0.776091; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
91; 0.935632; 0.759892; 0.896661; 0.943576; 0.927007; 0.896661;0.25516
