#Summary : 
#Best fitness Pop 1;0.899301
#Best fitness Pop 2;0.899301
#Std deviation Pop 1;0.107564
#Std deviation Pop 2;0.176642
#Sensitivity;0.899841
#Specificity;0.84809
#Accuracy;0.866367
#PPV;0.763833
#RMSE;0.336633
#RRSE;0.923977
#RAE;0.44501
#MSE;0.113322
#ADM;0.846084
#MDM;0.00777403
#Size;1
#OverLearn;0.5

#Parameters : 
#Generations;200
#Population size;120
#Number of rules;3
#Number of var per rule;5
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.01
#Fixed vars;0
#Sensitivity weight;0.94
#Specificity weight;0.98
#Accuracy weight;0
#PPV weight;0
#RMSE weight;0.1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.6
#OverLearn weight;0

#Fuzzy system : 
 IF  THEN  is MF 1
 IF  THEN  is MF 0
 IF 203787_at is MF 1 THEN  is MF 1
 ELSE :  is 0  

Membership functions : 
203787_at (7.94821 , 9.36289) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
59; 0.899301; 0.757084; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
60; 0.899301; 0.79209; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
61; 0.899301; 0.789686; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
62; 0.899301; 0.807692; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
63; 0.899301; 0.796953; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
64; 0.899301; 0.789827; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
65; 0.899301; 0.779209; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
66; 0.899301; 0.776499; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
67; 0.899301; 0.783286; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
68; 0.899301; 0.803794; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
69; 0.899301; 0.811319; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
70; 0.899301; 0.80611; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
71; 0.899301; 0.82477; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
72; 0.899301; 0.810539; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
73; 0.899301; 0.815851; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
74; 0.899301; 0.821827; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
75; 0.899301; 0.831556; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
76; 0.899301; 0.838732; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
77; 0.899301; 0.832932; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
78; 0.899301; 0.830583; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
79; 0.899301; 0.83073; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
80; 0.899301; 0.83493; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
81; 0.899301; 0.831855; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
82; 0.899301; 0.833926; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
83; 0.899301; 0.845131; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
84; 0.899301; 0.851349; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
85; 0.899301; 0.84934; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
86; 0.899301; 0.848147; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
87; 0.899301; 0.854479; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
88; 0.899301; 0.843063; 0.899841; 0.84809; 0.866367; 0.763833;0.336633
