#Summary : 
#Best fitness Pop 1;0.929712
#Best fitness Pop 2;0.929712
#Std deviation Pop 1;0.219403
#Std deviation Pop 2;0.179992
#Sensitivity;0.798092
#Specificity;0.99566
#Accuracy;0.925884
#PPV;0.990138
#RMSE;0.258732
#RRSE;1.62538
#RAE;1.35395
#MSE;0.0669425
#ADM;0.879103
#MDM;0.00195041
#Size;1
#OverLearn;0.5

#Parameters : 
#Generations;150
#Population size;200
#Number of rules;3
#Number of var per rule;3
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.2
#Specificity weight;0.8
#Accuracy weight;0
#PPV weight;1
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.1
#OverLearn weight;0

#Fuzzy system : 
 IF 214761_at is MF 1 THEN  is MF 1
 IF  THEN  is MF 0
 IF  THEN  is MF 1
 ELSE :  is 0  

Membership functions : 
214761_at (2.98567 , 7.80583) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
1; 0.813547; 0.50163; 0.696343; 0.985243; 0.883212; 0.962637;0.341743
2; 0.872181; 0.548556; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
3; 0.876263; 0.586181; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
4; 0.8762; 0.596185; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
5; 0.874055; 0.625629; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
6; 0.907594; 0.657746; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
7; 0.907594; 0.674539; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
8; 0.907594; 0.667511; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
9; 0.907594; 0.6571; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
10; 0.907594; 0.636604; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
11; 0.907594; 0.659032; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
12; 0.907594; 0.690228; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
13; 0.907594; 0.659183; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
14; 0.907594; 0.67915; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
15; 0.907594; 0.672726; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
16; 0.907594; 0.675697; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
17; 0.907594; 0.658889; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
18; 0.907594; 0.677593; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
19; 0.907594; 0.695447; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
20; 0.907594; 0.675964; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
21; 0.907594; 0.653641; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
22; 0.907594; 0.694414; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
23; 0.907594; 0.661294; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
24; 0.907594; 0.674532; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
25; 0.907594; 0.642358; 0.828299; 0.969618; 0.919708; 0.93705;0.259916
26; 0.907666; 0.658325; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
27; 0.907666; 0.685584; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
28; 0.907666; 0.670261; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
29; 0.907666; 0.654489; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
30; 0.907666; 0.678201; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
31; 0.907666; 0.654303; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
32; 0.907666; 0.650181; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
33; 0.907666; 0.672007; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
34; 0.907666; 0.687684; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
35; 0.907666; 0.669607; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
36; 0.907666; 0.673906; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
37; 0.907666; 0.68126; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
38; 0.907666; 0.660624; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
39; 0.907666; 0.66792; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
40; 0.907666; 0.669486; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
41; 0.907666; 0.664516; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
42; 0.907666; 0.677567; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
43; 0.907666; 0.67389; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
44; 0.907666; 0.673817; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
45; 0.907666; 0.664496; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
46; 0.907666; 0.634711; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
47; 0.907666; 0.668315; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
48; 0.907666; 0.655902; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
49; 0.907666; 0.661132; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
50; 0.907666; 0.675332; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
51; 0.907666; 0.667844; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
52; 0.907666; 0.679796; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
53; 0.907666; 0.673749; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
54; 0.907666; 0.689623; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
55; 0.907666; 0.678913; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
56; 0.907666; 0.683024; 0.834658; 0.96875; 0.921393; 0.935829;0.258417
57; 0.907666; 0.683089; 0.736089; 0.996528; 0.904548; 0.991435;0.293483
58; 0.908157; 0.683584; 0.736089; 0.996528; 0.904548; 0.991435;0.293483
59; 0.908157; 0.667207; 0.798092; 0.99566; 0.925884; 0.990138;0.260267
60; 0.908157; 0.679153; 0.798092; 0.99566; 0.925884; 0.990138;0.260267
61; 0.908157; 0.695769; 0.798092; 0.99566; 0.925884; 0.990138;0.260267
62; 0.908157; 0.678245; 0.798092; 0.99566; 0.925884; 0.990138;0.260267
63; 0.908157; 0.661505; 0.798092; 0.99566; 0.925884; 0.990138;0.260267
64; 0.908157; 0.690813; 0.798092; 0.99566; 0.925884; 0.990138;0.260267
65; 0.908157; 0.68571; 0.798092; 0.99566; 0.925884; 0.990138;0.260267
66; 0.908157; 0.711178; 0.798092; 0.99566; 0.925884; 0.990138;0.260267
67; 0.908157; 0.68602; 0.798092; 0.99566; 0.925884; 0.990138;0.260267
68; 0.908157; 0.700173; 0.798092; 0.99566; 0.925884; 0.990138;0.260267
69; 0.914352; 0.708368; 0.798092; 0.99566; 0.925884; 0.990138;0.260267
70; 0.929425; 0.72227; 0.798092; 0.99566; 0.925884; 0.990138;0.260267
71; 0.929425; 0.69096; 0.798092; 0.99566; 0.925884; 0.990138;0.260267
72; 0.929425; 0.720122; 0.798092; 0.99566; 0.925884; 0.990138;0.260267
73; 0.929425; 0.707457; 0.798092; 0.99566; 0.925884; 0.990138;0.260267
74; 0.929425; 0.733666; 0.798092; 0.99566; 0.925884; 0.990138;0.260267
75; 0.929425; 0.699603; 0.798092; 0.99566; 0.925884; 0.990138;0.260267
76; 0.929712; 0.719642; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
77; 0.929712; 0.732995; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
78; 0.929712; 0.750826; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
79; 0.929712; 0.744014; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
80; 0.929712; 0.744547; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
81; 0.929712; 0.758221; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
82; 0.929712; 0.749123; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
83; 0.929712; 0.763793; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
84; 0.929712; 0.756045; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
85; 0.929712; 0.759322; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
86; 0.929712; 0.782557; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
87; 0.929712; 0.793381; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
88; 0.929712; 0.786958; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
89; 0.929712; 0.774395; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
90; 0.929712; 0.772269; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
91; 0.929712; 0.763247; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
92; 0.929712; 0.781358; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
93; 0.929712; 0.78312; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
94; 0.929712; 0.796719; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
95; 0.929712; 0.808748; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
96; 0.929712; 0.806415; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
97; 0.929712; 0.811087; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
98; 0.929712; 0.819221; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
99; 0.929712; 0.807098; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
100; 0.929712; 0.812973; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
101; 0.929712; 0.843936; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
102; 0.929712; 0.822793; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
103; 0.929712; 0.795008; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
104; 0.929712; 0.805324; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
105; 0.929712; 0.818855; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
106; 0.929712; 0.829557; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
107; 0.929712; 0.822331; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
108; 0.929712; 0.819353; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
109; 0.929712; 0.80377; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
110; 0.929712; 0.826957; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
111; 0.929712; 0.804986; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
112; 0.929712; 0.788682; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
113; 0.929712; 0.782579; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
114; 0.929712; 0.781134; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
115; 0.929712; 0.754587; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
116; 0.929712; 0.761355; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
117; 0.929712; 0.763046; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
118; 0.929712; 0.757888; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
119; 0.929712; 0.764677; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
120; 0.929712; 0.794562; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
121; 0.929712; 0.803143; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
122; 0.929712; 0.813985; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
123; 0.929712; 0.772868; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
124; 0.929712; 0.798042; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
125; 0.929712; 0.762344; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
126; 0.929712; 0.770932; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
127; 0.929712; 0.771138; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
128; 0.929712; 0.760383; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
129; 0.929712; 0.761857; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
130; 0.929712; 0.766413; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
131; 0.929712; 0.739273; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
132; 0.929712; 0.755583; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
133; 0.929712; 0.757017; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
134; 0.929712; 0.761971; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
135; 0.929712; 0.751712; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
136; 0.929712; 0.73773; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
137; 0.929712; 0.771747; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
138; 0.929712; 0.750164; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
139; 0.929712; 0.746339; 0.798092; 0.99566; 0.925884; 0.990138;0.258732
