#Summary : 
#Best fitness Pop 1;0.884991
#Best fitness Pop 2;0.884991
#Std deviation Pop 1;0.235439
#Std deviation Pop 2;0.181183
#Sensitivity;0.883943
#Specificity;0.950521
#Accuracy;0.927007
#PPV;0.907015
#RMSE;0.252913
#RRSE;0.701916
#RAE;0.26984
#MSE;0.0639649
#ADM;0.888083
#MDM;0.00140706
#Size;1
#OverLearn;0.5

#Parameters : 
#Generations;150
#Population size;200
#Number of rules;3
#Number of var per rule;3
#Number of output variables;1
#Number of input sets;2
#Number of output sets;2
#Input sets pos. code size;7
#Output sets pos. code size;1
#Input vars bit code size;8
#Output vars bit code size;1
#Input sets bit code size;2
#Output sets bit code size;1
#Elite size;5
#Crossover probability;0.9
#Individual mutation prob.;0.2
#Bit mutation prob.;0.025
#Fixed vars;0
#Sensitivity weight;0.8
#Specificity weight;0.2
#Accuracy weight;0
#PPV weight;1
#RMSE weight;1
#RRSE weight;0
#RAE weight;0
#MSE weight;0
#ADM weight;0
#MDM weight;0
#Size weight;0.1
#OverLearn weight;0

#Fuzzy system : 
 IF  THEN  is MF 1
 IF 1566363_at is MF 1 THEN  is MF 1
 IF  THEN  is MF 0
 ELSE :  is 0  

Membership functions : 
1566363_at (7.83017 , 12.2209) ;  (0 , 1)


#Population Variables
Gen; FitMax; FitAvg; Sensitivity; Specificity; Accuracy; PPV; RMSE
59; 0.884941; 0.592377; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
60; 0.884941; 0.602606; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
61; 0.884941; 0.651686; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
62; 0.884941; 0.677328; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
63; 0.884941; 0.628093; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
64; 0.884941; 0.655523; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
65; 0.884941; 0.647407; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
66; 0.884941; 0.645757; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
67; 0.884941; 0.676016; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
68; 0.884941; 0.683536; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
69; 0.884941; 0.685548; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
70; 0.884941; 0.646838; 0.883943; 0.950521; 0.927007; 0.907015;0.253182
71; 0.884977; 0.666309; 0.883943; 0.950521; 0.927007; 0.907015;0.252992
72; 0.884977; 0.646092; 0.883943; 0.950521; 0.927007; 0.907015;0.252992
73; 0.884977; 0.647725; 0.883943; 0.950521; 0.927007; 0.907015;0.252992
74; 0.884977; 0.644891; 0.883943; 0.950521; 0.927007; 0.907015;0.252992
75; 0.884977; 0.633548; 0.883943; 0.950521; 0.927007; 0.907015;0.252992
76; 0.884977; 0.659513; 0.883943; 0.950521; 0.927007; 0.907015;0.252992
77; 0.884977; 0.630686; 0.883943; 0.950521; 0.927007; 0.907015;0.252992
78; 0.884977; 0.654997; 0.883943; 0.950521; 0.927007; 0.907015;0.252992
79; 0.884977; 0.614063; 0.883943; 0.950521; 0.927007; 0.907015;0.252992
80; 0.884977; 0.646146; 0.883943; 0.950521; 0.927007; 0.907015;0.252992
81; 0.884977; 0.646884; 0.883943; 0.950521; 0.927007; 0.907015;0.252992
82; 0.884977; 0.614026; 0.883943; 0.950521; 0.927007; 0.907015;0.252992
83; 0.884977; 0.674025; 0.883943; 0.950521; 0.927007; 0.907015;0.252992
84; 0.884977; 0.653402; 0.883943; 0.950521; 0.927007; 0.907015;0.252992
